Downloaded from FDA GRAS Notices; http://www.hfpappexternal.fda.gov/scripts/fdcc/?set=GRASNotices; Last updated 7/31/2026; downloaded 8/2/2026.

GRAS Notice (GRN) No.,Substance,Intended Use,Basis,Notifier,Notifier Address,Date of filing,GRN Part 1,GRN Part 2,GRN Part 3,GRN Part 4,GRN Part 5,GRN Part 6,GRN Part 7,Date of closure,Date of correction letter,FDA's Letter,Date additional correspondence,Additional correspondence,Date additinoal correspondence 2,Additional correspondence 2,Date additional correspondence 3,Additional correspondence 3,Date additional correspondence 4,Additional correspondence 4,Resubmission,Resubmitted,Notes,Related submission
=T("838")," Purified steviol glycosides"," For use as a general-purpose sweetener in foods, excluding meat and poultry products and infant formulas, at levels determined by Current Good Manufacturing Practices (cGMP)"," Scientific procedures"," Jiang Su Svetia Biotechnology Co., Ltd."," No. 15 Huihe Road </Br>Huishan District</Br> Wuxi, Jiangsu</Br>CHINA",," GRN 838 (in PDF)",,,,,,,07/12/2019,," FDA has no questions (in PDF)",,,,,,,,,,,,
=T("839")," Purified steviol glycosides"," For use as a general-purpose sweetener in foods, excluding meat and poultry products and infant formulas, at levels determined by Current Good Manufacturing Practices (cGMP)"," Scientific procedures"," Sinochem Health Company Ltd."," 20 Xianggang Zhong Road</Br> Qingdao,266071</Br>CHINA",," GRN 839 (in PDF)",,,,,,,07/08/2019,," FDA has no questions (in PDF)",,,,,,,,,,,,
=T("840")," <I>Lactobacillus paracasei</I> strain F19"," For use as an ingredient in conventional foods, excluding USDA-regulated foods, at levels intended to provide at a minimum of 10<sup>9</sup> CFU/serving."," Scientific procedures"," Arla Foods Ingredients Group P/S"," Sonderhoh 10-12</Br>8260 DK-Viby J</Br>Denmark",," GRN 840 (in PDF)",,,,,,,08/27/2019,," FDA has no questions (in PDF)",,,,,,,,,,,,
=T("841")," <i>Saccharomyces cerevisiae</i> expressing L-lactate dehydrogenase from <i>Rhizopus oryzae</i>"," For use in the production of beer to produce alcohol and impart a sour flavor and is intended to replace yeast from other available commercial sources in the fermentation of beer."," Scientific procedures"," Mascoma LLC"," 67 Etna Road, Suite 200</Br>Lebanon, NH 03766",," GRN 841 (in PDF)",,,,,,,03/10/2020,," FDA has no questions (in PDF)",,,,,,,,,,,,
=T("842")," Maltogenic alpha-amylase"," For use as an enzyme in the production of baked goods according to current good manufacturing practice (cGMP)"," Scientific procedures"," Mascoma LLC"," 67 Etna Road, Suite 200</Br>Lebanon, NH 03766",," GRN 842 (in PDF)",,,,,,,01/21/2020,," FDA has no questions (in PDF)",,,,,,,,,,,,
=T("843")," Algal oil (35% docosahexaenoic acid) from <i>Schizochytrium</i> sp. strain FCC-1324"," Ingredient in food categories listed in 21 CFR 184.1472(a)(3) at levels up to 50% of the levels specified in 21 CFR 184.1472(a)(3) and as the sole added source of DHA in any given food category and, if blended with another source of DHA or eicosapentaenoic acid (EPA), the levels will be no more than 1.5 g of DHA/person (p)/day (d) and no more than 3.0 g/p/d of DHA and EPA combined."," Scientific procedures"," Fermentalg"," 4 Rue Riviere</Br>33500 Libourne</Br>France",," GRN 843 (in PDF)",,,,,,,10/18/2019,," FDA has no questions; some uses may require a color additive listing (in PDF)",,,,,,,,,,,,
=T("844")," Algal oil (55% docosahexaenoic acid) from <i>Schizochytrium </i>sp. strain FCC-3204"," Ingredient in food categories listed in 21 CFR 184.1472(a)(3) at levels up to 35% of the levels specified in 21 CFR 184.1472(a)(3) and as the sole added source of DHA in any given food category and, if blended with another source of DHA or eicosapentaenoic acid (EPA), the levels will be no more than 1.5 g of DHA/person (p)/day (d) and no more than 3.0 g/p/d of DHA and EPA combined."," Scientific procedures"," Fermentalg"," 4 Rue Riviere</Br>33500 Libourne</Br>France",," GRN 844 (in PDF)",,,,,,,10/18/2019,," FDA has no questions; some uses may require a color additive listing (in PDF)",,,,,,,,,,,,
=T("845")," <i>Lactobacillus rhamnosus</i> LGG"," For use as an ingredient conventional foods, including milk and dairy products such as yogurt and other fermented milk products; dairy alternatives (plant-based (oat, soy, almond, coconut, pea, etc.); fermented milk and yogurt products; beverages such as juice and protein shakes; shelf-stable products such as bars (granola, protein, meal replacement bars), confectionary (gummy candy, hard candy, soft chew candy, chewing gum, coatings); breakfast cereals (RTE and hot) at use levels between 10<sup>8</sup> to 10<sup>10</sup> cfu/serving."," Scientific procedures"," Chr. Hansen, Inc."," 9015 West Mable Street</Br>Milwaukee, WI 53214",," GRN 845 (in PDF)",,,,,,,10/30/2019,," At the notifier's request, FDA ceased to evaluate this notice (in PDF)",,,,,,,,,,,,
=T("846")," Rebaudioside M"," For use as table top sweetener and as a general purposed non-nutritive sweetener for incorporation into foods in general, other than infant formula and meat and poultry products, at per serving levels reflecting current good manufacturing practice (cGMP)."," Scientific procedures"," GLG Life Tech Corporation"," 10271 Shellbridge Way, Suite 100</Br>Richmond, BC V6X 2W8</Br>Canada",," GRN 846 (in PDF)",,,,,,,08/23/2019,," FDA has no questions (in PDF)",,,,,,,,,,,,
=T("847")," <i>Lactobacillus plantarum</i> ECGC 13110402"," For use as an ingredient in foods generally, excluding infant formula and foods that would require additional regulatory review by USDA, at levels up to 1 x 10<sup>10</sup> CFU per serving."," Scientific procedures"," ProBiotix Health Ltd."," Cavalier Suite The Barracks</Br>Wakefield Road</Br>WF8 4HH Pontefract</Br> United Kingdom",," GRN 847 (in PDF)",,,,,,,09/30/2019,," FDA has no questions (in PDF)",,,,,,,,,,,,
=T("848")," Pea and rice protein fermented by shiitake mycelia"," For use as an ingredient in baked goods and baking mixes, beverages and beverage bases, breakfast cereals, dairy product analogs, fats and oils, grain products and pastas, milk products, plant proteins and products, processed fruits and fruit juices, processed vegetable and vegetable juices, soups and soup mixes, non-baked goods (bars), and confectionary at levels ranging from 1.04 to 33.3%."," Scientific procedures"," Myco Technology, Inc."," 3155 Chambers Rd Suite E</br> Aurora, CO USA 80011</br>",," GRN 848 with amendments (in PDF)",,,,,,,01/09/2020,," FDA has no questions (in PDF)",,,,,,,,,,,,
=T("849")," Inulin from artichoke"," For use as a bulking agent, sugar replacer, humectant, fat-replacer and texture modifier in multiple food categories, excluding infant formula, at either 0.35 g/serving in the case of the syrup form, or 0.25 g/serving in the powdered form."," Scientific procedures"," Intrinsic Organics, LLC"," 1410 Organic Way</Br> Weiser, Idaho 83672</Br>",," GRN 849 (in PDF)",,,,,,,10/30/2019,," FDA has no questions (in PDF)",,,,,,,,,,,,
=T("850")," Olein from shea tree nut extract"," For use as a replacement for animal fats and vegetable fats rich in palmitic, myristic, and lauric fatty acids at in convention foods (excluding foods subject to regulation by the USDA) at levels within current good manufacturing practices and principles."," Scientific procedures"," BUNGE Loders Croklaan BV"," Hogewegl</Br> Wormerveer, 1521 AZ</Br> Netherlands",," GRN 850 with amendment (in PDF)",,,,,,,03/20/2020,," FDA has no questions (in PDF)",,,,,,,,,,,,
=T("851")," Pea protein"," For use as a source of protein in foods at levels ranging from 1 to 90 percent in bakery products (e.g., bread, rolls, cakes, pasta), cereals, snack foods (e.g.,chips, crackers, energy bars), ready-to-drink (RTD) beverages, soups, smoothies, fruit juices, protein beverages, dairy and dairy alternatives (e.g., yogurt, ice cream), meal replacements, nutritional bars, clinical nutrition, fruit and vegetable preparation, meat analog products, processed meat, dry blend protein products, extruded products, chocolate and confection compound coatings, non-chocolate confections, and as a binder and extender in meat and poultry applications. Infant formula is excluded from the intended uses. It is also intended for use in specialty foods intended to meet the protein requirements for sports activity or for weight control. Pea protein isolate is also intended to be used as a binder and extender in the following meat and poultry applications: raw comminuted poultry, raw comminuted meat, sausage/hot dogs, and soups/stews/salad/similar products."," Scientific procedures"," Roquette Freres"," Batiment Alpha 3</Br>  Lestrem 62080</Br> FRANCE",," GRN 851 with amendments (in PDF)",,,,,,,04/15/2020,," FDA has no questions (in PDF)",,,,,,,,,,,,
=T("852")," 2'-fucosyllactose"," For use as an ingredient in beverages and beverage bases; breakfast cereals; dairy product analogues; frozen dairy desserts and mixes; gelatins, puddings, and fillings; grain products and pastas; jams and jellies; whole and skim milk; milk products; processed fruits and fruit juices; and sweet sauces, toppings, and syrups at levels ranging from 0.28 to 1.2 g/serving; in non-exempt formulas for term infants at 0.24 g/serving (2.4 g/L); in toddler formulas at 0.24 g/serving (2.4 g/L); and in baby foods at levels ranging from 0.24 to 1.2 g/serving."," Scientific procedures"," BASF SE"," 100 Park Avenue</Br>  Florham Park, NJ 07932",," GRN 852 (in PDF)",,,,,,,11/15/2019,," FDA has no questions (in PDF)",,,,,,,,,,,,
=T("853")," Lysozyme produced by <i>Trichoderma reesei</i>"," For use as an enzyme in the production of ingredients produced by microbial fermentation such as xanthan gum, gellan gum, and yeast extracts to assist in the removal of cellular debris."," Scientific procedures"," Novozymes NA"," 77 Perry Chapel Church Road, Box 576</Br> Franklinton, NC, 27525",," GRN 853 (in PDF)",,,,,,,05/27/2020,," FDA has no questions (in PDF)",,,,,,,,,,,,
=T("854")," Agave mixed fructans from <i>Agave tequilana</i>"," Intended for use as a bulking agent, texturizing agent, or source of reduced energy carbohydrate in food categories described in the submission  (excluding meat and poultry products, and infant formula) at levels not to exceed the amount reasonably required to accomplish the intended technical effect."," Scientific procedures"," IIDEA (Industrializadora Integral del Agave SA de CV)"," Av. Periférico Sur 7750</Br> Tlaquepaque Jalisco</Br>Mexico",," GRN 854 (in PDF)",,,,,,,01/21/2020,," FDA has no questions (in PDF)",,,,,,,,,,,,
=T("855")," <i>Bifidobacterium animalis</i> subsp. <i>lactis</i> strain R0421"," Intended for use as an ingredient in non-exempt powdered milk-based infant formula intended for healthy term infants at a level to provide 5 x 10<sup>9</sup> CFU/800 ml of formula as prepared."," Scientific procedures"," Lallemand Health Solutions"," 17975 rue des Gouverneurs</Br>Mirabel, Quebec, J7J 2K7</Br>Canada",," GRN 855 w amendments (in PDF)",,,,,,,02/05/2020,," FDA has no questions (in PDF)",,,,,,,,,,,,
=T("856")," <i>Bifidobacterium animalis</i> subsp. <i>lactis</i> strain BB-12"," For use as an ingredient in conventional foods for use by the general population, excluding foods subject to regulation by the USDA, at levels intended to provide 5 x 10<sup>11</sup> CFU/serving."," Scientific procedures"," Chr. Hansen, Inc."," 9015 West Mable Street</Br>  Milwaukee, WI 53214",," GRN 856 (in PDF)",,,,,,,12/09/2019,," FDA has no questions (in PDF)",,,,,,,,,,,,
=T("857")," Phospholipase A1 produced by Aspergillus niger"," For use as an enzyme in the processing of edible oils and fats, including vegetable oil, algal oil, animal fats, and fish oil."," Scientific procedures"," DSM Food Specialties"," PO Box 1</Br>  2600 MA Delft</Br> Netherlands",," GRN 857 with amendment (in PDF)",,,,,,,12/20/2019,," FDA has no questions (in PDF)",,,,,,,,,,,,
=T("858")," Glucosylated steviol glycosides"," For use as a table top sweetener and as a general purpose sweetener for use in foods in general, excluding infant formula and meat and poultry products, at levels in accordance with cGMP."," Scientific procedures"," Qufu Shengren Pharmaceutical Co., Ltd"," No. 6 Shengwang Ave.</Br>Qufu, Shandong, 273100</Br>China",," GRN 858 part 1 (in PDF)"," GRN 858 part 2 (in PDF)"," GRN 858 part 3 (in PDF)",,,,,10/04/2019,," FDA has no questions (in PDF)",,,,,,,,,,,,
=T("861")," Pullulanase from <i>Bacillus deramificans</i> produced in <i>Bacillus subtilis</i>"," Intended for use as an enzyme in the saccharification of liquified starch in the production of dextrose and maltose syrups."," Scientific procedures"," GenScript/Bestzyme"," 860 Centennial Ave.</Br>Piscataway, NJ 08854",," GRN 861 (in PDF)",,,,,,,07/21/2020,," FDA has no questions (in PDF)",,,,,,,,,,,,
=T("862")," Algal oil (40% docosahexaenoic acid) from <i>Schizochytrium</i> sp. strain ONC-T18"," Algal oil is intended for use in milk- and soy-based non-exempt infant formula for term infants and milk- and soy-based exempt infant formula for pre-term infants at levels up to 0.5% (w/w) of total fat as DHA with the provision that algal oil will be used in infant formula in combination with a safe and suitable source of arachidonic acid (ARA) at a ratio ranging from 1:1 to 1:2 of DHA to ARA. The oil formulation is intended for use in the food categories listed in 21 CFR 184.1472(a)(3) at up to 25% of the levels specified and the powder formulation is intended for use in the food categories listed in 21 CFR 184.1472(a)(3), excluding those products under USDA jurisdiction, at up to 100% of the levels specified; and, with the provision that if algal oil is blended with another source of DHA or eicosapentaenoic acid (EPA), the levels will be no more than 1.5 g of DHA/person (p)/day (d) and no more than 3.0 g/p/d of DHA and EPA combined."," Scientific procedures"," BASF Corporation"," 100 Park Avenue</Br>Florham Park, NJ  07932",," GRN 862 with amendments (in PDF)",,,,,,,06/15/2020,," FDA has no questions; some uses may require a color additive listing (in PDF)",,,,,,,,,,,,
=T("863")," &beta;-lactoglobulin produced by <i>Trichoderma reesei</i>"," Intended for use as a substitute for dairy and plant derived proteins in foods that currently use protein from milk or plants and a source of dietary protein."," Scientific procedures"," Perfect Day, Inc."," 813 Heinz Avenue</Br>Berkeley, CA 94710",," GRN 863 (in PDF)",,,,,,,03/25/2020,," FDA has no questions (in PDF)",,,,,,,,,,,,
=T("864")," <i>Bacillus coagulans</i> SNZ 1969 spore preparation"," As an ingredient in non-exempt infant formulas for term infants, at levels up to 2 x 10<sup>8</sup> colony forming units (CFU) per 100 mL infant formula, as consumed."," Scientific procedures"," Sanzyme Biologics Pvt. Ltd."," Plot No. 13, Sagar Society, Banjara Hills, Road Number 2 Hyderabad  500 034, Telengana</Br>INDIA",," GRN 864 with amendments (in PDF)",,,,,,,02/06/2020,," FDA has no questions (in PDF)",,,,,,,,,,,,
=T("865")," <i>Lactobacillus acidophilus</i> NCFM"," Intended for use as an ingredient in non-exempt term infant formula and toddler formulas at a level of 10<sup>8</sup> CFU/g."," Scientific procedures"," Dupont Nutrition and Biosciences (Danisco USA, Inc.)"," 3329 Agriculture Drive</br>Madison, WI, 53716",," GRN 865 (in PDF)",,,,,,,03/10/2020,04/01/2020," FDA has no questions (in PDF)",,,,,,,,,,,,
=T("868")," Coffee fruit extract"," Intended for use as an ingredient in flavored water/energy drinks; coffee/tea; RTM beverages; milk products; clusters/bars; fruit juices; vegetable juices/blends; chocolate; candy; and chewing gum at levels ranging from 20-300 mg/serving."," Scientific procedures"," VDF FutureCeuticals, Inc."," 2692 N. St. Rt. 1-17</Br>Momence, IL  60954",," GRN 868 with amendments (in PDF)",,,,,,,03/24/2020,," FDA has no questions (in PDF)",,,,,,,,,,,,
=T("869")," <i>Ilex guayusa</i> leaf aqueous extract"," Intended for use as an ingredient in energy bars; energy drinks; RTD tea; carbonated drinks; coffee-like beverages; and enhanced water at levels ranging from 706-3570 mg/serving."," Scientific procedures"," Applied Food Sciences, Inc."," 8708 South Congress Ave, Suite B-290</Br>Austin, Texas 78745",," GRN 869 (in PDF)",,,,,,,03/20/2020,," FDA has no questions (in PDF)",,,,,,,,,,,,
=T("870")," <i>Ilex guayusa</i> leaf hydroethanolic extract"," Intended for use as an ingredient in energy bars; energy drinks; RTD tea; carbonated drinks; coffee-like beverages; and enhanced water at levels ranging from 267-715 mg/serving."," Scientific procedures"," Applied Food Sciences, Inc."," 8708 South Congress Ave, Suite B-290</Br>Austin, Texas 78745",," GRN 870 (in PDF)",,,,,,,03/20/2020,," FDA has no questions (in PDF)",,,,,,,,,,,,
=T("871")," <i>Lactobacillus acidophilus</i> DDS-1"," Intended for use as an ingredient in foods generally, excluding infant formula and foods under the authority of the USDA at levels intended to provide 10<sup>9</sup> to 10<sup>11</sup> CFU per serving."," Scientific procedures"," UAS Laboratories, LLC"," 4375 Duraform Lane</Br>Windsor, Wisconsin 53598",," GRN 871 (in PDF)",,,,,,,10/23/2019,," FDA has no questions (in PDF)",,,,,,,,,,,,
=T("872")," <i>Bifidobacterium animalis</i> subsp. <i>lactis</i> UABla-12"," Intended for use as an ingredient in foods generally, excluding infant formula and foods under the authority of USDA at levels intended to provide 10<sup>9</sup> to 10<sup>11</sup> CFU per serving."," Scientific procedures"," UAS Laboratories, LLC"," 4375 Duraform Lane</Br>Windsor, Wisconsin 53598",," GRN 872 (in PDF)",,,,,,,12/09/2019,," FDA has no questions (in PDF)",,,,,,,,,,,,
=T("873")," Cranberry extract"," Intended for use as an ingredient in beverages and beverage bases, coffee and tea, and processed fruits and fruit juices at levels ranging from 150 to 300 mg per serving."," Scientific procedures"," Ocean Spray Cranberries, Inc."," One Ocean Spray Drive</br>Lakeville-Middleboro, MA 02349",," GRN 873 (in PDF)",,,,,,,05/06/2020,," FDA has no questions (in PDF)",,,,,,,,,,,,
